puesto,ubicacion,compañia,publicado,fecha_publicacion,jk,efccid,srcid,cmpid
Data Scientist,'Madrid,ING,Recién publicado,16/06/2022,050fc8e058e41df9,'7bd462d32dbac422,bb2a946338c21637,5b16841c3468a10d
Data Scientist,'28040 Madrid,SpotLab, 30+,16/06/2022,046cd8d1d0577b3f,'de6a12ed861d5440,a00a6b7cfc1cf5ee,152aea16c741382e
Data Scientist \u2013 SCF,'Boadilla del Monte,Santander, 15,16/06/2022,f94a0e37e4e9de2a,'9c69fb6cae5d5480,191207eae463570d,e57a47a3d1d90e39
Data Scientist Senior,'Madrid,Metiora, 5,16/06/2022,ad3ae4400f6eef36,'2df6ed4e53b63c4c,39f401016b40b09b,66fdb1569137029b
Summer Intern - Data Scientist - QuantumBlack,'Madrid,McKinsey &amp; Company, 30+,16/06/2022,3ed261d94656d298,'5413f5cfde75d4bb,22d428f0cff0c44b,6576e7250aa78c3c
Data Scientist,'Madrid,Sopra Steria, 30+,16/06/2022,41c5fa3acac70beb,'63a994f62e7938cb,50f514b75bb0d00b,d3243783fce714f3
Trainee Data Scientist at Havas Group,'Madrid,Havas Group, 10,16/06/2022,231a325ba9d74154,'370122f603e29a14,d336308b84a5085b,4eeffc5ad446de0c
DATA SCIENTIST,'28033 Madrid,Gnarum, 30+,16/06/2022,d8ffdf22d7b4f45f,'143f51001754ba6e,0b40b8ec6044a1c7,dd518bc3d38060ff
Staff Data Scientist,'Madrid,TomTom, 1,16/06/2022,b28f78c927fc4239,'d7dcd8ad30d3cff7,36b5fb07d89aa22c,91c33bbd39df6600
Data Scientist,'Bilbao,Teknei, 30+,16/06/2022,c0d6ada0b182778b,'c7364615d99eef9b,53a92cf88b4f5e43,8458b2dbb6f62d4b
Junior Data Scientist,'Madrid,SENDAUDIT, 30+,16/06/2022,a5e7b24d637defde,'1c767ec48d3ac1fd,a98742e8b2adf92f,02cb9cc0f45d2551
Data Scientist,'28046 Madrid,Equifax, 30+,16/06/2022,2d777de1e200d6d6,'f03fcdd7b519ce7d,08b3b2968b0d2037,34c446722f3cf576
Data Scientist,'28007 Madrid,IQVIA, 30+,16/06/2022,81c4b0ef9b30211b,'67f579a15736d5ce,358ec02fe845298b,c14a115338d6db1e
Senior Data Scientist Python R,'Madrid,Client Server, 9,16/06/2022,0bc7e00f9d9f34a3,'c1ccc37bd04d4c1e,b395abf0e1c01888,892c145157842ceb
DATA SCIENTIST MANAGER II,'Madrid,BBVA, 3,16/06/2022,6b53aaa6804c8657,'58a5f596976cae60,ff85f582010d5094,c938a854fbd13908
Research Support for Biomaterials and Cell Culture Laboratory,'Madrid,IMDEA materials, 1,16/06/2022,9001281e57dd3d00,'f7bf2f1a0d55f849,a29d22c21b2eda1e,0a7d97b4d8fb332a
Data Scientist,'Madrid,Prima Assicurazioni, 27,16/06/2022,6765a30acf20dd25,'63c41c313597d459,e75e9687c21aa874,a7e05776ccf1730b
Data Scientist,'Madrid,Grupo Digital, 15,16/06/2022,1560a9f587fe3daa,'bdf2d0551d3638f6,ee7e6a916f129893,55be766e6373a10b
Data Scientist,'Madrid,Logicalis GmbH, 28,16/06/2022,99b788c9515515a8,'0177fc0e3c3e6aa6,11d6bcdb16ff8fa5,c91a603ceaac9755
Data Scientist sector BANCA,'Madrid,Serviguide bpo, 30+,16/06/2022,df4a5f55e93f23f7,'8841ad9e8b0561ad,f616b076ad604cbf,3f727a9ce75e64a9
Data Scientist,'28020 Madrid,ADDYOU, 30+,16/06/2022,21117fda9f47e5e8,'44d6aae08d332809,b4a33ebeeef72b86,8cef9ee7e3f58a36
Machine Learning Engineer \/ Data Scientist,'28001 Madrid,Nomoko, 2,16/06/2022,7f060ee93d1d9512,'10b3ac3c611f0eb4,5569ef326bfd3339,aba1d6b87c55a148
Analista en Transfromaci\u00F3n Anal\u00EDtica\/Data Scientist,'Madrid,Linea directa, 30+,16/06/2022,e609b440d81a7449,'6e7dded30e141ee0,71280fc17b9bb861,219fde5426b14e34
Data Scientist TR,'Madrid,Ozona Tecnolog\u00EDa, 30+,16/06/2022,f2770b7baecdf4e2,'12139b7c8ca19c82,baeff85033e42b81,e74017194e91df63
DATA SCIENTIST - Risk Hub,'Madrid,BNP Paribas, 15,16/06/2022,fe60eeb70cfb9dea,'7acb0c5b0fe423a0,f8939eedc8bd4583,1392500f835bba92
Data Scientist,'Madrid,SEREM, 30+,16/06/2022,01c57d5dd4cfd692,'af87da638c3d3cf1,7068ca8571dfb294,4bc686621ec1a1ef
Data Scientis Analyst \u2013 SFC HQ,'Boadilla del Monte,Santander, 6,16/06/2022,d6f0135e50990719,'9c69fb6cae5d5480,191207eae463570d,e57a47a3d1d90e39
Data Scientist IT specialist,'Madrid,IMDEA materials, 6,16/06/2022,751d658c09cb69ff,'f7bf2f1a0d55f849,a29d22c21b2eda1e,0a7d97b4d8fb332a
Senior Data Scientist Python R,'Madrid,Client Server, 9,16/06/2022,0bc7e00f9d9f34a3,'c1ccc37bd04d4c1e,b395abf0e1c01888,892c145157842ceb
Data Scientist,'28029 Madrid,JUMP TV Solutions, 30+,16/06/2022,d7dd6e1b5a4bb779,'66597b3c0d108022,8169adc5a485dfa0,fafa01d75dc1e8cb
NLP Data Scientist - Medigenomics,'Pozuelo de Alarc\u00F3n,Fujitsu, 30+,16/06/2022,c7896f7a96998023,'e7d8a43f61625447,b1a4cc007b8af7fb,0d771a787e6e10bd
Consultor Data Scientist,'Madrid,BIP - Business Integration Partners, 6,16/06/2022,fa4678347e0952c5,'430e0eb25da23e6f,0c3a75911cd6f619,1aba420ab867315b
Mobility Analytics Data Scientist,'Madrid,Nommon Solutions and Technologies, 21,16/06/2022,d622734e3ab40cc1,'1c017796db4e65a5,cc10037aeb584202,1c57b5c6c728562c
DATA SCIENTIST SENIOR MANAGER SOLUTIONS DEVELOPMENT II,'Madrid,BBVA, 3,16/06/2022,2145cef67c9c2426,'58a5f596976cae60,ff85f582010d5094,c938a854fbd13908
Specialist Data Scientist,'Madrid,Vodafone, 5,16/06/2022,7add4b2308ce87cf,'1d79f5eb9b5c89dd,1763a532f00584bd,374d720d3973ca1c
Data Scientist\/Analista de Datos,'Madrid,HUB TALENT, 30+,16/06/2022,30f5f27fa8e405f5,'d2eab8e2acba6f8f,45a666657dcf64ba,995ef2778b270328
Data Scientist (Madrid),'Madrid,ThetaRay, 30+,16/06/2022,36304732b0f94df6,'f0cb27eb1a6d3c3e,e03720c6713a28d9,cf22bc2acd0ef329
Data scientist,'Madrid,Discoperi, 30+,16/06/2022,133f3b72bd040c22,'de87c0a9158ddd0a,bed6ebe11133c5a5,bef94ffedaa5f982
Data Scientist,'Madrid,recognified, 30+,16/06/2022,ec816ada543ae324,'8cbad79d7dce5bc8,4a134846dfd1324c,d1cf916e0bb9f22e
Data Scientist,'Madrid,Boopos Innovation, 23,16/06/2022,a2671dc4c4f70adb,'d95b72f2df4c3693,c4ba03d8352bec59,2652d2325d3d834b
Data Scientist - AI,'Pozuelo de Alarc\u00F3n,Menhir Financial, 7,16/06/2022,f564ebbcf5a6d14b,'018f6be7a6bed86f,bb6546782ade7589,6dca32063813c84c
Data Scientist,'Madrid,Applus+ BKW, 29,16/06/2022,796c42c1ae506bc7,'26419c6f12d3eb83,3b81af0d674e2e1e,c3fc2aef807f32c7
Data Scientist junior,'Madrid,Page Personnel Espa\u00F1a, 23,16/06/2022,801ca8ee350e8588,'1caca90f6d54a6c6,d59d6a8228acee93,f6239d27101a0be2
